Title,Authors,Original Price,Selling Price,Discount,Rating_Count,Rating,Category_en
Evil spirits (hardcover),Mushtaq Ahmed,TK. 200,TK. 156,You Save TK. 44,10 Ratings,4.2,Supernatural and ghost
Smart English Smart Way to Learn English - 2nd chunk,Farid Ahmed,TK. 250,TK. 188,You Save TK. 62,137 Ratings,3.74,English grammar and language education
What will people say?(Hardcover),Ayman Sadiq,TK. 255,TK. 191,You Save TK. 64,1848 Ratings,4.08,Self Development and Motivation
Rahele Bellayat (Hardcover),Dr.Khondaker Abdullah Jahangir,TK. 460,TK. 322,You Save TK. 138,584 Ratings,4.67,Spirituality and Sufism
Not in good (hardcover),Ayman Sadiq,TK. 300,TK. 225,You Save TK. 75,1110 Ratings,4.28,Student Life Development
Mathematical mathematics mathematics (hardcover),Chamok Hasan,TK. 267,TK. 200,You Save TK. 67,303 Ratings,4.61,Mathematics
Recharge your down battery (hardcover),Jhankar Mahmud,TK. 260,TK. 195,You Save TK. 65,394 Ratings,4.6,Student Life Development
Programming (Hardcover) for Hababuda,Jhankar Mahmud,TK. 267,TK. 200,You Save TK. 67,438 Ratings,4.54,Computer programming
Digit brother (hardcover),Chamok Hasan,TK. 300,TK. 225,You Save TK. 75,290 Ratings,4.4,Mathematics
The Prayer of the Prophet (peace be upon him) (1st and second volume) (Hardcover),Allama Muhammad Nasiruddin Albani (Rh),TK. 220,TK. 132,You Save TK. 88,238 Ratings,4.21,Salat / Prayer
Corporate Communication (Hardcover),Rokhsana Akhter Rupee,TK. 240,TK. 180,You Save TK. 60,83 Ratings,4.11,Career Development
Programming boss (hardcover),Jhankar Mahmud,TK. 267,TK. 200,You Save TK. 67,210 Ratings,4.55,Computer programming
Presentation and Talking Techniques (Paperback),Md. Zakir Hossain,TK. 100,TK. 70,You Save TK. 30,96 Ratings,3.94,"Presentation, lecture and debate techniques"
In the study handkerchief (hardcover),Ragib Hasan,TK. 267,TK. 200,You Save TK. 67,149 Ratings,4.49,Education and research
Jukti Fade Phoring,Chamok Hasan,TK. 200,TK. 150,You Save TK. 50,272 Ratings,4.29,Communication
Munazat and Prayer (Paperback),Dr.Khondaker Abdullah Jahangir,TK. 50,TK. 35,You Save TK. 15,86 Ratings,4.73,Salat / Prayer
Paracetamol (Hardcover) of Paracitory Life,Jhankar Mahmud,TK. 260,TK. 195,You Save TK. 65,356 Ratings,4.6,Student Life Development
Last (hardcover),Junaid Ivan,TK. 350,TK. 250,You Save TK. 100,436 Ratings,4.26,Contemporary novel
Fourteenth of programming (hardcover),Jhankar Mahmud,TK. 360,TK. 270,You Save TK. 90,154 Ratings,4.44,Computer programming
Sahih Mashmanun Ozififa (Paperback),Dr.Khondaker Abdullah Jahangir,TK. 60,TK. 42,You Save TK. 18,174 Ratings,4.74,"Prayer, Darood and Yikar"
Screen (hardcover) in the eyes of the Qur'an and science,Mufti Muhammad Habib fired,TK. 150,TK. 75,You Save TK. 75,150 Ratings,4.14,Screen provision
Bible Quran and Science (Hardcover),Dr.Morris Bucaille,TK. 350,TK. 210,You Save TK. 140,204 Ratings,4.47,"Islamic research, criticism and essay"
Nimich Pane: Calculus's path navigation (hardcover),Chamok Hasan,TK. 400,TK. 300,You Save TK. 100,291 Ratings,4.53,Mathematics
Scientists' sports (hardcover),Ragib Hasan,TK. 200,TK. 150,You Save TK. 50,110 Ratings,4.45,Scientist
How to learn speech and debate (Paperback),Deen Mohammad Sujon (editor),TK. 150,TK. 75,You Save TK. 75,78 Ratings,3.69,Career development
Just inaccurate marketing (hardcover),Galib bin Mohammad,TK. 240,TK. 180,You Save TK. 60,99 Ratings,4.4,"Branding, Marketing & Singing"
Non physics (hardcover),Ratul Khan,TK. 267,TK. 200,You Save TK. 67,226 Ratings,4.26,Physics
Web Design Learning Dollar Income (Hardcover),Freelancer Nasim,TK. 300,TK. 225,You Save TK. 75,514 Ratings,2.41,Web Design and Development
Three: Fortiation AM (Hardcover),Nick pirator,TK. 160,TK. 112,You Save TK. 48,104 Ratings,4.47,"Translation: Mystery, detective, horror, myth, thriller, and adventure"
Noman 1 (Paperback),Antik Mahmud,TK. 240,TK. 180,You Save TK. 60,182 Ratings,3.93,Childrenis: Comics and photo stories
Nimich Pane 2: As the story of yogaization,Chamok Hasan,TK. 400,TK. 300,You Save TK. 100,143 Ratings,4.83,Mathematics
General knowledge of Tebib Mahmud (Bangladesh and International Affairs) (Paperback),Tebib Mahmud,TK. 450,TK. 302,You Save TK. 148,43 Ratings,4.49,General knowledge
The Best Sirat Book of the Prophet (peace be upon him): Rahikul Makhtum (Hardca),Allama Safeur Rahman Mubarakpuri (RA),TK. 600,TK. 360,You Save TK. 240,66 Ratings,4.44,Rasool in Sita
Bassimat (hardcover) in Sharab,Munir Hasan,TK. 200,TK. 150,You Save TK. 50,84 Ratings,4.49,"Branding, Marketing & Singing"
Growth Hacking Marketing (Hardcover),Munir Hasan,TK. 200,TK. 150,You Save TK. 50,115 Ratings,4.15,"Branding, Marketing & Singing"
Three: Tenn A M (Hardcover),Nick pirator,TK. 160,TK. 112,You Save TK. 48,123 Ratings,4.41,"Translation: Mystery, detective, horror, myth, thriller, and adventure"
The Power of Positive Thinking (Hardcover),Dr.Norman Vincent Pill,TK. 320,TK. 224,You Save TK. 96,96 Ratings,3.99,Translation: self-development and meditation
Higher education in America (Hardcor),Ragib Hasan,TK. 300,TK. 225,You Save TK. 75,71 Ratings,4.45,Education and research
Facebook Marketing (Hardcover),Md Ariful Islam,TK. 200,TK. 160,You Save TK. 40,61 Ratings,4.33,"Branding, Marketing & Singing"
Entrepreneur and 101 Business Idea (Paperback),Abdul Hakim Nahid,TK. 180,TK. 144,You Save TK. 36,90 Ratings,4.04,Entrepreneur
Jobayer's GK (General Knowledge) (Paperback),Jobayer Ahmed,TK. 420,TK. 302,You Save TK. 118,152 Ratings,4.36,"Bengali, English and Normal Knowledge"
Calcium of Gymnasium Futures (Hardcover),Jhankar Mahmud,TK. 240,TK. 180,You Save TK. 60,122 Ratings,4.54,When age 12-17: Reference and self-controlled books
Thome,Nick pirator,TK. 320,TK. 224,You Save TK. 96,94 Ratings,4.55,"Translation: Mystery, detective, horror, myth, thriller, and adventure"
Electricity: Easy Formula of success in education (hardcover),Ragib Hasan,TK. 280,TK. 210,You Save TK. 70,142 Ratings,4.35,Student Life Development
Mind Engineering Dreams Inspiration And Life Building Formula (Hardcover),Ragib Hasan,TK. 240,TK. 180,You Save TK. 60,116 Ratings,4.1,Self Development and Motivation
The secret of not being accepted by prayer (hardcover),Maulana Ahmad Shafi (Chakkari),TK. 150,TK. 105,You Save TK. 45,12 Ratings,5,Salat / Prayer
Noman 2 (Paperback),Antik Mahmud,TK. 240,TK. 180,You Save TK. 60,72 Ratings,4.03,Childrenis: Comics and photo stories
Scientists' sports 3 (hardcover),Ragib Hasan,TK. 260,TK. 195,You Save TK. 65,35 Ratings,4.49,Scientist
Marketing for Non-Marketers (Hardcover),Prola Hassan,TK. 360,TK. 270,You Save TK. 90,50 Ratings,4.7,"Branding, Marketing & Singing"
The letter of the century (hardcover),Musa al-Hafeez,TK. 220,TK. 132,You Save TK. 88,36 Ratings,4.22,Cheap History
Journey to Allah (Hardcor),Hafiz Ibn Rajab al-Hanbali Rah,TK. 230,TK. 138,You Save TK. 92,38 Ratings,4.45,The help of Islamic period and period
Invite in the way of Allah (Paperback),Dr.Khondaker Abdullah Jahangir,TK. 50,TK. 35,You Save TK. 15,59 Ratings,4.64,"Invitation, Tabligh, lecture, discussion and waj"
Scientists' sparkle-2 (hardcover),Ragib Hasan,TK. 267,TK. 200,You Save TK. 67,60 Ratings,4.3,Scientist
Islamic Creed (Hardcover),Dr.Khondaker Abdullah Jahangir,TK. 450,TK. 315,You Save TK. 135,179 Ratings,4.61,"Faith, Akbida and Taosa"
Do not give me a mistake (hardcover),Ashif Antaz Robi,TK. 600,TK. 450,You Save TK. 150,64 Ratings,4.53,Biographical novels
Ethical hacking and securities (paperback),Titas Sarkar,TK. 300,TK. 225,You Save TK. 75,56 Ratings,3.79,Computer hacking
The Lost Symbol (Hardcover),Dan Brown,TK. 550,TK. 385,You Save TK. 165,77 Ratings,4.26,"Mystery, detective, horror, myth, thriller, and adventure: translation"
Salat provision in the prayer: A Hadiatoral Review (Paperback),Dr.Khondaker Abdullah Jahangir,TK. 80,TK. 56,You Save TK. 24,67 Ratings,4.52,Salat / Prayer
The Boy In The Striped Pajamas,John Boy,TK. 160,TK. 112,You Save TK. 48,71 Ratings,4.65,When age 12-17: novel
Karachi (Hardcover),Mohammad Nazim Uddin,TK. 360,TK. 252,You Save TK. 108,45 Ratings,4.09,Thriller
"Clothing, screen and body-decoration in the light of the Quran-Sunnah (hardcover)",Dr.Khondaker Abdullah Jahangir,TK. 300,TK. 210,You Save TK. 90,122 Ratings,4.59,Screen provision
First Romance (Hardcover),Sunil Gangopadhyay (Nilolit),TK. 300,TK. 234,You Save TK. 66,13 Ratings,3.85,Romantic novel
Travel Bangladesh Challenge Book (Paperback),Ayman Sadiq,TK. 200,TK. 150,You Save TK. 50,223 Ratings,2.65,Bangladesh travel
Wonderful history of genes and angels (hardcover),Allama ibn Kathir (RA),TK. 350,TK. 210,You Save TK. 140,90 Ratings,4.19,Islamic history and heritage
Life of Female Companions (Hardcor),Dr.Abdur Rahman Rafat Pasha Rah,TK. 140,TK. 84,You Save TK. 56,34 Ratings,4.12,Biography of Mahaji women
Discipline Point (Hardcover),Dan Brown,TK. 360,TK. 252,You Save TK. 108,64 Ratings,4.02,"Mystery, detective, horror, myth, thriller, and adventure: translation"
VocaBuilder,Farhad Hossain Masum,TK. 300,TK. 225,You Save TK. 75,76 Ratings,4.16,English Language and Literature
Interview Techniques (Hardcover),Apple Mahmud,TK. 240,TK. 180,You Save TK. 60,18 Ratings,3.89,Interview
Nutrition Programming (Hardcover),Sajedur Rahman,TK. 300,TK. 225,You Save TK. 75,24 Ratings,4.46,"Miscellaneous: Cooking, food and nutrition"
Kurbani and Jabihullah (Paperback),Dr.Khondaker Abdullah Jahangir,TK. 40,TK. 28,You Save TK. 12,25 Ratings,4.8,Hajj-Umrah and sacrifice
Charter Master Computer Engineer (Hardcover),Rahitul Islam,TK. 240,TK. 180,You Save TK. 60,12 Ratings,4.17,Contemporary novel
Freelancing Guru: Online income keyword (hardcover),Md.Ikram,TK. 300,TK. 225,You Save TK. 75,37 Ratings,4.24,Freelancing & Outsourcing
Muslim Women's Crisis (Paperback),Dr.Umar Sulaiman al-Ashkar,TK. 160,TK. 96,You Save TK. 64,1 Rating,4,"Islamic research, criticism and essay"
Rabindranath never came here - 2 (Hardcover),Mohammad Nazim Uddin,TK. 500,TK. 350,You Save TK. 150,195 Ratings,3.95,Thriller
Python Machine Learning From Zero: Sykit-Lean (second edition),Rakibul Hasan,TK. 300,TK. 225,You Save TK. 75,72 Ratings,4.21,Computer programming
Motivational Moments (Hardcover),Mufti Ishmael Menak,TK. 450,TK. 315,You Save TK. 135,42 Ratings,4.6,Islamic Books: Self-Development
Basic to Advanced Networking (Hardcover),Titas Sarkar,TK. 360,TK. 270,You Save TK. 90,40 Ratings,4.28,Networking
Next guide to Hair Study in USA,Farhad Hossain Masum,TK. 200,TK. 150,You Save TK. 50,27 Ratings,4.19,Child-Teenage: Reference and self-controlled book
Easy Quran (2nd chunk) (the first 21 Surahs and its explanation of the 30th of the Qur'an) (Hardcover),Asif Sijat Bhuiya,TK. 400,TK. 300,You Save TK. 100,24 Ratings,4.13,Quran and Tafseer
Hamlet (Hardcover),William Shakespeare,TK. 130,TK. 98,You Save TK. 32,28 Ratings,4.39,Translation: The book of drama
Read reading (hardcover),Munir Hasan,TK. 267,TK. 200,You Save TK. 67,41 Ratings,4.37,Student memorial life
Constitution-based important MCK (Paperback),Joycoli Editors (Editorial),TK. 120,TK. 60,You Save TK. 60,41 Ratings,3.93,Bangladesh Affairs
Ventrilloist (Hardcover),Mashudul Haque,TK. 220,TK. 154,You Save TK. 66,80 Ratings,4.53,Thriller and Adventure novels
Review sorrow,Mushtaq Ahmed,TK. 150,TK. 113,You Save TK. 37,3 Ratings,4.67,Science Fiction
Palestine: Survival Fight (Hardcover),Dr.Rugib Sarajani,TK. 320,TK. 240,You Save TK. 80,52 Ratings,4.42,"Political conflict, warfare and genocide"
Time Management (Hardcover),Mark Manasini,TK. 300,TK. 210,You Save TK. 90,27 Ratings,3.59,Career development
Zobayers Bangla (Paperback),Jobayer Ahmed,TK. 420,TK. 302,You Save TK. 118,19 Ratings,3.89,"Bengali, English and Normal Knowledge"
Jobayers English (paperback),Jobayer Ahmed,TK. 420,TK. 302,You Save TK. 118,21 Ratings,3.95,Admission Test Preparation
Fish farming in bioflock system,Dr.Md.Nurul Huda Al Mamun,TK. 250,TK. 195,You Save TK. 55,33 Ratings,4.33,Fisheries
Cooking Studio (Hardcover),Ummi Selim,TK. 600,TK. 450,You Save TK. 150,37 Ratings,4.41,Recipe
Jannati's Ten Ramani Biography (Hardcover),Maulana Muhammad Abdul Hakim (editor),TK. 350,TK. 175,You Save TK. 175,23 Ratings,4.3,"Prophet Messenger, Sahaba, Tabee and Oli-Awlia"
Parabat (hardcover),Tanvir Rafi,TK. 200,TK. 150,You Save TK. 50,25 Ratings,4.52,Contemporary novel
Prison Rosomacha and unfinished autobiography (Paperback),Md. Mofizur Rahman (editor),TK. 150,TK. 90,You Save TK. 60,13 Ratings,4.15,Bangladesh Affairs
University Canteen (Hardcover),Dr.Muhammad ibn Abdur Rahman Arifi,TK. 160,TK. 96,You Save TK. 64,15 Ratings,4.33,Screen provision
Kongrivism in the name of Islam: Featured and Unwatched Reasons (Hardcover),Dr.Khondaker Abdullah Jahangir,TK. 200,TK. 140,You Save TK. 60,61 Ratings,4.26,"Islamic research, criticism and essay"
Important MCP (Paperback) of Bangabandhu and Liberation War,Ajay Sarkar (editor),TK. 120,TK. 60,You Save TK. 60,39 Ratings,4.33,Bangladesh Affairs
Fextrot in Kandahar (Hardcover),Dwaan Evans,TK. 300,TK. 234,You Save TK. 66,10 Ratings,3.7,"Translation: biography, memorabilia and interview"
Modern methods of cow fattening and treatment and milk cow cows (hardcover),Dr.Mahbub Mustafa,TK. 450,TK. 350,You Save TK. 100,35 Ratings,4.2,Cattle
Constitution of the People's Republic of Bangladesh (Paperback),Laws and Parliamentary Affairs Department,TK. 340,TK. 238,You Save TK. 102,45 Ratings,3.91,Miscellaneous books related to law
